real complex
[0.001099 -0.006592]
[0.000916 -0.006592]
[0.000885 -0.006744]
[0.001068 -0.006531]
[0.000977 -0.006348]
[0.001068 -0.006531]
[0.001007 -0.006744]
[0.001129 -0.006622]
[0.001068 -0.006561]
[0.000946 -0.006561]
[0.001007 -0.006470]
[0.000946 -0.006622]
[0.001007 -0.006470]
[0.001038 -0.006653]
[0.001038 -0.006531]
[0.000977 -0.006439]
[0.001068 -0.006683]
[0.001007 -0.006561]
[0.001007 -0.006500]
[0.000946 -0.006531]
[0.001129 -0.006439]
[0.001190 -0.006622]
[0.000946 -0.006592]
[0.000916 -0.006409]
[0.001129 -0.006653]
[0.001038 -0.006500]
[0.001129 -0.006592]
[0.001007 -0.006409]
[0.001007 -0.006622]
[0.001099 -0.006622]
[0.001190 -0.006470]
[0.001099 -0.006592]
[0.001038 -0.006470]
[0.001160 -0.006592]
[0.001099 -0.006592]
[0.001099 -0.006592]
[0.001190 -0.006653]
[0.001038 -0.006622]
[0.001129 -0.006653]
[0.001038 -0.006622]
[0.001007 -0.006622]
[0.001129 -0.006561]
[0.001251 -0.006622]
[0.000946 -0.006470]
[0.001129 -0.006561]
[0.001007 -0.006653]
[0.000977 -0.006531]
[0.001129 -0.006622]
[0.001038 -0.006683]
[0.001099 -0.006592]
[0.001190 -0.006500]
[0.001251 -0.006531]
[0.001068 -0.006470]
[0.001099 -0.006592]
[0.001129 -0.006653]
[0.000977 -0.006500]
[0.001129 -0.006531]
[0.001007 -0.006561]
[0.001129 -0.006531]
[0.001251 -0.006439]
[0.001038 -0.006470]
[0.001190 -0.006470]
[0.001251 -0.006622]
[0.001160 -0.006622]
[0.001221 -0.006531]
[0.001129 -0.006561]
[0.001038 -0.006500]
[0.001160 -0.006714]
[0.001038 -0.006592]
[0.001068 -0.006531]
[0.001129 -0.006561]
[0.001129 -0.006531]
[0.001038 -0.006653]
[0.001160 -0.006592]
[0.001160 -0.006622]
[0.001038 -0.006500]
[0.001099 -0.006378]
[0.001129 -0.006500]
[0.001038 -0.006500]
[0.001068 -0.006470]
[0.001129 -0.006531]
